lat,lon,depth,Jfix
20.0041,-52.6323,57,0.021024
-19.6772,160.4769,140,0.021024
-19.4982,165.0008,106.056,0.0210605
19.6682,-48.8725,5,0.0211335
26.1094,-35.2673,91,0.021243
-36.5,-73.07,10,0.021316
14.1721,-71.6901,56,0.0213525
27.1681,-64.8632,160,0.021389
22.75,-158,125,0.0214255
12.43,-40.14,75,0.021462
22.75,-158,100,0.021462
17.5004,-25.2601,4000,0.0214985
22.6785,-65.514,180,0.0214985
31.6605,-64.1581,140,0.021535
-18.42,-163,500,0.0215715
19.6692,-61.0781,5,0.021681
-18.5571,-175.8298,51,0.021754
35.48,29.512,40,0.0217905
29.9167,34.4833,39.956,0.0217905
-9.9997,87.9958,120.7668,0.021827
23.5866,-50.9101,5,0.0218635
14.5014,-26.0322,42,0.0218635
22.75,-158,125,0.0219
22.75,-158,125,0.0219
31.847,-119.575,50,0.0219
31.508,-120.243,55,0.0219
29.4,126.752,46,0.0219
28.419,123.073,50,0.0219
23.1,-36.4,115,0.0219365
19.279,-138.9656,130,0.022046
28.8744,-26.951,30,0.022046
22.75,-158,100,0.022119
12,135,153,0.022119
22.75,-158,100,0.0221555
1.0012,80.0003,20,0.022265
1.0012,80.0003,133,0.022265
-31.8143,6.8434,53,0.022338
32.0843,-17.263,34,0.0223745
-10.6835,157.7087,137.1,0.022484
-37.358,124.8549,3,0.022484
30.1583,-64.4,120,0.0225935
-5.003,81.002,62,0.02263
-29.8104,82.624,122,0.02263
24.45,130.22,111.5333,0.0226665
-13.0089,-81.8656,60,0.022703
22.75,-158,125,0.0227395
29.9167,34.4667,100,0.0227395
35.7,-29.5,21,0.0227395
0.0043,-140.0006,40,0.022922
-13.999,-85.834,400,0.022995
22.75,-158,100,0.0230315
-19.9997,167.9993,106.782,0.0231045
43.42,-8.44,1,0.023214
41.4367,-9.0591,5,0.023214
-19.4,-75.085,200,0.0233235
-64.5,-170,7.66,0.02336
14.4339,-28.7127,40,0.023433
22.75,-158,125,0.023433
23.4356,-34.9116,60,0.0234695
-15.8264,-33.4078,84,0.0234695
22.75,-158,75,0.023506
-37.358,124.8549,76,0.0235425
-37.358,124.8549,35,0.023579
26.1094,-35.2673,55,0.023652
23.5866,-50.9101,120,0.023652
22.75,-158,75,0.0236885
22.75,-158,75,0.0236885
19.667,-46.1509,120,0.023725
-29.5603,72.4463,77,0.023725
22.75,-158,125,0.023798
17.5,-20.8003,4000,0.023798
31.6605,-64.1581,5,0.023871
-18.42,-163,800,0.024017
25.1601,-53.4018,200,0.02409
24.62,-160.85,100,0.02409
-29.5603,72.4463,7,0.0241265
22.75,-158,125,0.024236
21.4689,-23.4542,4,0.024236
17.4274,-59.8286,5,0.024236
28.5648,-64.6316,105,0.0242725
22.75,-158,75,0.024309
-0.3343,-28.997,80,0.024382
-20.4543,-178.5073,91.437,0.024455
42.55,-19.8356,12,0.0244915
24.4084,-157.891,125,0.0245645
24.8691,-157.478,75,0.0245645
39.7287,-72.0465,70.5,0.0245645
39.7287,-72.0465,70.5,0.0245645
22.75,-158,125,0.0246375
28.8744,-26.951,105,0.024674
35.7,-29.5,11,0.0247105
-29.8104,82.624,5,0.0247105
-29.8104,82.624,55,0.0247105
-39.2315,135.1865,41,0.024747
-25.4842,-179.5215,6,0.024893
-20.4685,-70.9619,240,0.0250025
-18.2682,-159.9992,15.159,0.0250755
22.75,-158,125,0.025112
8.6,-29.1,56,0.0251485
18.0451,-133.2619,85,0.0251485
-9.06,-79.979,1002.1,0.025185
22.75,-158,125,0.025185
-12,-85.833,350,0.025185
0.001,91.998,1,0.025185
-4.9953,88.0085,65.5458,0.0252215
13.478,-58.186,120,0.0252215
-29.5603,72.4463,132,0.025258
-10.9988,162.999,150.7,0.0252945
-21.6433,164.5094,180,0.0253675
22.75,-158,75,0.02555
22.75,-158,100,0.02555
22.75,-158,75,0.02555
30.0033,-149.5999,5,0.02555
30.3659,-139.42,40,0.02555
30.5999,-140.0064,20,0.02555
-4.5,-23,20,0.02555
29.9167,34.4667,500,0.02555
-3.4989,-23.0037,80,0.02555
0.3314,-23.0003,100,0.02555
-0.6624,-10.0004,90,0.02555
-2.9978,-9.9994,55,0.02555
-2.9978,-9.9994,90,0.02555
-1.6664,-0.0006,40,0.02555
1.0012,80.0003,66,0.02555
32.171,123.432,1,0.02555
30.522,123.034,1,0.02555
18,115.5,65,0.02555
3.2879,-29.0183,40,0.02555
22.75,-158,100,0.0255865
20.6996,-18.5699,750,0.0255865
27.1681,-64.8632,5,0.025623
-20.7,176.4,800,0.025623
40.412,-67.5805,80.6,0.025623
40.412,-67.5805,80.6,0.025623
17.33,110.6269,100,0.0257325
1.666,-85.833,150,0.025915
11.79,-43.45,40,0.025915
22.75,-158,125,0.0259515
31.15,-20.7201,17,0.026061
-31.8143,6.8434,5,0.0260975
12.41,-27.25,65,0.026207
2.363,91.847,1,0.02628
30.1,-113.86,36,0.02628
-10,-95,60,0.02628
14.5,-19.25,50,0.02628
9.75,-20.65,34,0.02628
39.9961,-19.9975,5,0.0263165
31.6605,-64.1581,90,0.0265355
-26.1,-11.1,19,0.0268275
15.9119,-124.4942,8,0.0270465
31.6605,-64.1581,5,0.0271195
-17.3327,162.9977,151.4,0.0271925
22.75,-158,125,0.0273385
20.4422,-45.8806,5,0.027521
17.5001,-23.0313,4000,0.0275575
-5.003,81.002,1,0.02774
20.4422,-45.8806,155,0.02774
19.6631,-57.7934,140,0.0278495
